conversation_id,gemini_avg_words_used,gemini_cost_used_usd,gemini_decision_turn,gemini_output_tokens_used,gemini_repetitiveness_used,gpt_avg_words_used,gpt_cost_used_usd,gpt_decision_turn,gpt_output_tokens_used,gpt_repetitiveness_used
conversa_2026-01-05_10-03-40.json,35.5,,1,102,0.11475409836065574,37.5,,1,104,0.1206896551724138
conversa_2026-01-05_17-19-26.json,44.833333333333336,,5,412,0.1713368700265252,65.0625,,,1648,0.24547069145707628
conversa_2026-01-05_17-25-11.json,50.0,,2,221,0.15443969610636277,74.3125,,,1840,0.2327699881199803
conversa_2026-01-05_17-33-21.json,54.0,,1,161,0.08333333333333333,45.0,,1,137,0.10144927536231885
conversa_2026-01-05_17-47-45.json,47.0,,1,136,0.08196721311475409,49.666666666666664,,2,221,0.1750537634408602
conversa_2026-01-05_17-53-54.json,36.333333333333336,,,167,0.2586848635235732,75.5,,1,238,0.16831683168316833
conversa_2026-01-05_18-03-31.json,49.6,,4,380,0.21917122536654343,68.75,,3,404,0.21764310562934852
conversa_2026-01-05_18-04-47.json,52.666666666666664,,2,241,0.21939792663476873,64.5,,1,197,0.11578947368421053
conversa_2026-01-05_18-07-51.json,51.0,,1,148,0.03278688524590164,76.6,,4,577,0.2551933620781433
conversa_2026-01-05_18-11-05.json,49.125,,7,612,0.16898021633466326,66.25,,7,846,0.24245556472574467
conversa_2026-01-05_18-12-44.json,55.5,,1,152,0.07142857142857142,47.666666666666664,,2,209,0.20788177339901479
conversa_2026-01-05_18-13-34.json,41.5,,1,120,0.016129032258064516,52.666666666666664,,2,229,0.21593366979091563
conversa_2026-01-05_18-15-28.json,61.666666666666664,,2,282,0.12900842323038275,59.5,,1,188,0.2073170731707317
conversa_2026-01-05_18-19-23.json,40.76923076923077,,,786,0.20182108850010144,61.4,,4,465,0.24813391397170403
conversa_2026-01-05_18-30-06.json,40.07692307692308,,,794,0.1799573455389192,61.61538461538461,,,1245,0.2354545710810293
conversa_2026-01-05_18-33-45.json,52.8,,4,397,0.22016950369891547,59.714285714285715,,6,652,0.25128164556962024
conversa_2026-01-05_18-46-23.json,57.30769230769231,,,1097,0.25881523828344993,59.38461538461539,,,1163,0.22879756366469683
conversa_2026-01-05_18-50-43.json,60.916666666666664,,11,1096,0.1885557483344136,66.84615384615384,,,1340,0.21774177375719908
conversa_2026-01-05_18-57-04.json,35.285714285714285,,6,395,0.15355944936345128,52.69230769230769,,12,1108,0.19364723893817243
conversa_2026-01-05_19-02-14.json,39.92307692307692,,,777,0.18201344872269162,52.875,,7,645,0.20183046537644714
